name,sector,address,phone,website,rating,review_count,latitude,longitude,has_website,has_active_website,score,web_visibility_score
Tartines et Gourmandises,artisans,"
20 Rue Froide, 14000 Caen","
02 31 50 24 32",,4.6,4,NULL,NULL,False,False,75,75
Le Coeur Gourmand,artisans,"
11 Av. de la Côte de Nacre, 14000 Caen","
02 31 57 92 18",,4.8,4,NULL,NULL,False,False,75,75
Pain vivant,artisans,"
7 Av. de Rouen, 14000 Caen","
07 72 09 42 91",,4.7,4,NULL,NULL,False,False,75,75
"Boulanger Pâtissier ""Les Pains de Gabin""",artisans,"
49 Rue du Général Moulin, 14000 Caen","
02 31 73 35 03",,4.7,4,NULL,NULL,False,False,75,75
"Boulanger Pâtissier ""Le Moulin des Pierres Caen""""",artisans,"
6 Bd André Detolle, 14000 Caen","
02 31 75 37 00",,4.3,4,NULL,NULL,False,False,75,75
La Brioche Chaude,artisans,"
25 Rue Neuve Saint-Jean, 14000 Caen","
02 31 85 24 96",,4.3,4,NULL,NULL,False,False,75,75
La rose de Vaucelles,artisans,"
11 Rue Auguste Lechesne, 14000 Caen","
02 31 99 37 48",,4.8,4,NULL,NULL,False,False,75,75
Talemelerie Guillaume,artisans,"
52 Rue du Vaugueux, 14000 Caen","
02 31 93 86 72",,4.5,4,NULL,NULL,False,False,75,75
"Boulangerie Pâtisserie ""Calou""",artisans,"
28 Rue Caponière, 14000 Caen","
02 31 50 29 83",,4.7,4,NULL,NULL,False,False,75,75
Graines De Copains,artisans,"
13 Bd Richemond, 14000 Caen","
02 31 46 05 69",,4.5,4,NULL,NULL,False,False,75,75
Le P'tit Chou,artisans,"
65 Rue Saint-Pierre, 14000 Caen","
02 31 38 79 46",,4.5,4,NULL,NULL,False,False,75,75
Maison Roney,artisans,"
200 Rue de Bayeux, 14000 Caen","
02 31 74 47 57",,4.2,4,NULL,NULL,False,False,75,75
Maison Vivien,artisans,"
14 Rue de la Gare, 14000 Caen","
06 85 48 92 43",https://lsvivien.fr/,4.4,4,NULL,NULL,True,True,30,30
L'épi de venoix,artisans,"
75 Av. Charlemagne, 14000 Caen","
02 31 80 10 45",,4.6,4,NULL,NULL,False,False,75,75
Boulangerie Pâtisserie Persigny,artisans,"
12 Rue Caponière, 14000 Caen","
02 31 85 21 23",,4.8,4,NULL,NULL,False,False,75,75
"Boulanger Pâtissier ""Aux Normandises""",artisans,"
104 Rue Saint-Pierre, 14000 Caen","
02 31 85 55 88",,4.5,4,NULL,NULL,False,False,75,75
Paintati & Paintata,artisans,"
Presqu'île, 3 Prom. Chantal Rivière, 14000 Caen","
02 31 82 08 00",http://www.paintati-paintata.fr/,4.4,4,NULL,NULL,True,True,30,30
La Mie Paulette,artisans,"
3 Bd Richemond, 14000 Caen","
02 31 23 23 35",http://www.lamiepaulette.fr/,4.4,4,NULL,NULL,True,True,30,30
Boulangerie Banette Saveurs,artisans,"
52 Rue Saint-Jean, 14000 Caen","
02 31 26 98 46",,4.3,4,NULL,NULL,False,False,75,75
L'Annexe,artisans,"
29 Rue Claude Chappe, 14000 Caen","
02 31 46 26 32",,4.6,4,NULL,NULL,False,False,75,75
Maison Cookie,artisans,"
8 Rue Saint-Laurent, 14000 Caen","
06 66 52 02 67",http://www.maisoncookie.fr/,4.7,4,NULL,NULL,True,True,30,30
Pâtisserie Alban Guilmet,artisans,"
80 Bd Yves Guillou, 14000 Caen","
02 31 28 53 43",https://www.albanguilmet.fr/,4.5,4,NULL,NULL,True,True,30,30
Bon'blé,artisans,"
110 Rue de Falaise, 14000 Caen","
02 31 83 36 45",,4.3,4,NULL,NULL,False,False,75,75
Carrément Gourmand,artisans,"
56 Av. Capitaine Georges Guynemer, 14000 Caen","
02 31 52 00 72",,4.3,4,NULL,NULL,False,False,75,75
La kaz a pains,artisans,"
48 Bd Leroy, 14000 Caen","
02 31 82 25 84",,4.4,4,NULL,NULL,False,False,75,75
Alban Guilmet,artisans,"
6 Rue Saint-Jean, 14000 Caen","
02 31 45 36 06",https://www.albanguilmet.fr/,4.6,4,NULL,NULL,True,True,30,30
Au fournil de l'Hippodrome,artisans,"
37 Av. de l'Hippodrome, 14000 Caen","
02 31 78 93 92",,4.0,4,NULL,NULL,False,False,75,75
Mariatte et Fils Boulangerie,artisans,"
77 Bd Yves Guillou, 14000 Caen","
02 31 29 11 35",,4.0,4,NULL,NULL,False,False,75,75
Boulangerie Feuillette,artisans,"
81 Rte de Paris, 14120 Mondeville","
02 31 72 26 80",https://www.feuillette.fr/,4.2,4,NULL,NULL,True,True,30,30
Aux Délices d’Édimbourg,artisans,"
49 Rue de la Délivrande, 14000 Caen","
02 31 44 49 15",,4.2,4,NULL,NULL,False,False,75,75
La Mie Câline Caen,artisans,"
110 Rue Saint-Pierre, 14000 Caen","
02 31 73 89 21",,4.4,4,NULL,NULL,False,False,75,75
